Source,Target
301,62
301,274
301,195
301,451
301,237
301,422
301,336
301,269
301,220
301,57
301,187
301,72
301,198
301,138
301,329
301,435
301,215
301,80
301,321
301,214
62,72
62,0
62,3
62,417
62,436
62,201
62,176
62,301
62,57
62,198
62,274
62,310
62,397
62,368
62,24
62,115
62,357
62,167
62,192
62,376
72,62
72,0
72,3
72,118
72,417
72,453
72,436
72,198
72,155
72,289
72,176
72,156
72,201
72,215
72,192
72,274
72,310
72,237
72,248
72,357
0,357
0,201
0,72
0,396
0,62
0,115
0,176
0,248
0,289
0,256
0,472
0,401
0,3
0,247
0,355
0,415
0,508
0,167
0,259
0,376
357,396
357,472
357,508
357,0
357,500
357,289
357,319
357,191
357,257
357,167
357,57
357,362
357,201
357,206
357,213
357,113
357,7
357,355
357,341
357,176
201,115
201,0
201,256
201,401
201,289
201,357
201,62
201,72
201,248
201,176
201,396
201,247
201,376
201,167
201,421
201,368
201,166
201,386
201,24
201,375
396,212
396,257
396,355
396,249
396,182
396,67
396,319
396,206
396,82
396,448
396,272
396,357
396,54
396,328
396,259
396,430
396,246
396,371
396,161
396,385
115,401
115,201
115,65
115,256
115,368
115,376
115,375
115,247
115,444
115,493
115,59
115,24
115,423
115,497
115,474
115,0
115,62
115,139
115,234
115,289
176,62
176,0
176,72
176,201
176,115
176,357
176,472
176,256
176,289
176,248
176,372
176,508
176,396
176,166
176,421
176,362
176,503
176,213
176,215
176,232
248,323
248,482
248,19
248,115
248,62
248,201
248,72
248,0
248,256
248,324
248,368
248,417
248,189
248,176
248,510
248,394
248,475
248,103
248,376
248,357
289,508
289,7
289,170
289,503
289,166
289,362
289,27
289,213
289,421
289,428
289,472
289,329
289,357
289,201
289,198
289,115
289,400
289,283
289,263
289,286
256,241
256,401
256,139
256,210
256,208
256,423
256,115
256,385
256,247
256,386
256,201
256,204
256,260
256,497
256,470
256,396
256,425
256,0
256,376
256,351
472,357
472,508
472,213
472,232
472,372
472,289
472,7
472,76
472,364
472,362
472,455
472,473
472,257
472,130
472,285
472,263
472,26
472,172
472,500
472,293
401,256
401,139
401,115
401,497
401,385
401,423
401,241
401,386
401,201
401,247
401,208
401,260
401,210
401,375
401,371
401,204
401,298
401,444
401,493
401,0
3,62
3,72
3,376
3,310
3,488
3,417
3,0
3,368
3,198
3,496
3,57
3,435
3,144
3,209
3,24
3,237
3,274
3,289
3,342
3,27
247,256
247,401
247,139
247,386
247,260
247,241
247,208
247,115
247,210
247,385
247,470
247,204
247,0
247,201
247,371
247,497
247,396
247,423
247,380
247,212
355,212
355,448
355,82
355,396
355,319
355,430
355,249
355,54
355,259
355,67
355,161
355,469
355,272
355,92
355,182
355,101
355,257
355,235
355,385
355,123
415,371
415,396
415,185
415,246
415,272
415,357
415,257
415,0
415,235
415,256
415,401
415,232
415,385
415,159
415,201
415,355
415,119
415,67
415,213
415,176
508,472
508,213
508,362
508,357
508,7
508,289
508,170
508,364
508,76
508,26
508,232
508,455
508,396
508,263
508,257
508,172
508,372
508,473
508,119
508,271
167,191
167,59
167,368
167,57
167,357
167,62
167,201
167,115
167,21
167,149
167,493
167,198
167,393
167,18
167,24
167,397
167,9
167,310
167,144
167,376
259,212
259,355
259,448
259,469
259,54
259,161
259,396
259,249
259,206
259,67
259,385
259,82
259,446
259,380
259,79
259,260
259,392
259,92
259,319
259,358
376,115
376,62
376,3
376,310
376,368
376,256
376,201
376,24
376,72
376,401
376,435
376,267
376,289
376,27
376,417
376,144
376,59
376,351
376,209
376,162
118,136
118,318
118,250
118,180
118,226
118,91
118,302
118,215
118,72
118,237
118,160
118,255
118,453
118,411
118,126
118,236
118,381
118,138
118,395
118,503
136,180
136,226
136,118
136,411
136,237
136,302
136,250
136,453
136,236
136,318
136,215
136,255
136,502
136,145
136,138
136,317
136,126
136,238
136,153
136,395
318,250
318,118
318,136
318,503
318,302
318,160
318,166
318,91
318,411
318,215
318,180
318,237
318,428
318,226
318,27
318,158
318,198
318,284
318,289
318,153
250,302
250,215
250,136
250,411
250,318
250,118
250,361
250,226
250,236
250,255
250,160
250,180
250,284
250,503
250,237
250,381
250,91
250,453
250,405
250,502
180,226
180,136
180,302
180,118
180,255
180,250
180,13
180,502
180,411
180,126
180,236
180,153
180,453
180,434
180,318
180,377
180,252
180,265
180,145
180,381
226,377
226,126
226,434
226,502
226,300
226,265
226,413
226,399
226,255
226,107
226,302
226,180
226,13
226,136
226,490
226,11
226,239
226,350
226,411
226,405
91,131
91,21
91,116
91,126
91,153
91,118
91,219
91,346
91,226
91,299
91,160
91,326
91,11
91,436
91,218
91,32
91,318
91,136
91,477
91,250
302,226
302,284
302,411
302,434
302,250
302,381
302,180
302,136
302,350
302,236
302,85
302,126
302,265
302,377
302,238
302,255
302,502
302,321
302,215
302,138
215,250
215,118
215,136
215,237
215,318
215,160
215,302
215,62
215,503
215,453
215,72
215,411
215,180
215,454
215,226
215,198
215,236
215,289
215,381
215,166
237,136
237,138
237,453
237,269
237,363
237,215
237,310
237,118
237,198
237,203
237,220
237,318
237,250
237,158
237,72
237,160
237,303
237,495
237,145
237,202
160,91
160,15
160,198
160,215
160,318
160,250
160,166
160,118
160,237
160,59
160,269
160,218
160,428
160,503
160,136
160,60
160,62
160,495
160,153
160,9
255,226
255,377
255,302
255,434
255,300
255,502
255,265
255,126
255,180
255,411
255,136
255,250
255,490
255,405
255,236
255,239
255,238
255,13
255,350
255,438
453,136
453,237
453,207
453,303
453,236
453,148
453,180
453,118
453,202
453,502
453,145
453,383
453,226
453,203
453,369
453,215
453,72
453,255
453,250
453,411
411,361
411,95
411,226
411,302
411,136
411,382
411,284
411,236
411,250
411,434
411,85
411,405
411,502
411,350
411,438
411,255
411,490
411,264
411,239
411,238
126,226
126,377
126,265
126,434
126,11
126,153
126,131
126,255
126,284
126,302
126,107
126,91
126,350
126,13
126,85
126,239
126,346
126,399
126,299
126,180
236,411
236,226
236,136
236,302
236,453
236,250
236,255
236,361
236,180
236,490
236,238
236,95
236,145
236,438
236,502
236,434
236,85
236,239
236,405
236,350
381,302
381,226
381,502
381,434
381,350
381,284
381,238
381,411
381,250
381,136
381,438
381,236
381,85
381,180
381,300
381,126
381,265
381,215
381,255
381,405
138,325
138,363
138,153
138,379
138,40
138,333
138,237
138,506
138,158
138,220
138,269
138,136
138,327
138,223
138,216
138,310
138,303
138,108
138,32
138,302
395,202
395,180
395,136
395,338
395,118
395,169
395,453
395,384
395,243
395,72
395,250
395,203
395,496
395,50
395,498
395,481
395,507
395,165
395,369
395,270
503,289
503,166
503,428
503,27
503,318
503,250
503,508
503,215
503,7
503,213
503,472
503,421
503,118
503,476
503,198
503,149
503,72
503,115
503,357
503,160
417,62
417,488
417,342
417,144
417,397
417,499
417,3
417,72
417,155
417,368
417,496
417,436
417,156
417,435
417,48
417,410
417,310
417,376
417,192
417,441
488,435
488,36
488,410
488,220
488,37
488,342
488,230
488,48
488,144
488,45
488,214
488,352
488,451
488,431
488,417
488,310
488,499
488,422
488,496
488,3
342,432
342,88
342,488
342,431
342,2
342,225
342,305
342,480
342,36
342,410
342,276
342,417
342,45
342,499
342,3
342,69
342,37
342,62
342,48
342,19
144,488
144,435
144,310
144,496
144,417
144,155
144,57
144,48
144,62
144,368
144,154
144,156
144,220
144,230
144,45
144,223
144,376
144,410
144,191
144,3
397,409
397,62
397,18
397,417
397,368
397,155
397,496
397,374
397,72
397,167
397,59
397,192
397,191
397,144
397,24
397,0
397,505
397,436
397,310
397,357
499,488
499,435
499,417
499,410
499,342
499,62
499,3
499,310
499,36
499,220
499,48
499,144
499,209
499,431
499,376
499,230
499,225
499,45
499,436
499,432
