label,id
14 Bis,0
3 Na Massa,1
A Bolha,2
A Cor Do Som,3
Abel Ferreira,4
Academia da Berlinda,5
Adoniran Barbosa,6
Adriana Calcanhotto,7
Adriana Partimpim,8
Agepê,9
Agnaldo Timoteo,10
Agostinho Dos Santos,11
Airto Moreira,12
Alaíde Costa,13
Alceu Valença,14
Alcione,15
Alessandra Leão,16
Almir Guineto,17
Almir Sater,18
Almôndegas,19
Altamiro Carrilho,20
Altemar Dutra,21
Alzira Espíndola,22
Amado Batista,23
Amelinha,24
Ana Caram,25
Ana Cañas,26
Angela Ro Ro,27
Anisio Silva,28
Antonio Marcos,29
Antônio Carlos Jobim,30
Antônio Nóbrega,31
Aracy de Almeida,32
Arleno Farias,33
Arlindo Cruz,34
Arnaldo Antunes,35
Arnaldo Baptista,36
Arrigo Barnabé,37
Arthur Moreira Lima,38
Arthur Verocai,39
Ary Barroso,40
Ary Lobo,41
Assisão,42
Astrud Gilberto,43
Ataulfo Alves,44
Ave Sangria,45
Azulão,46
Baden Powell,47
Baiano E Os Novos Caetanos,48
Banda Black Rio,49
Banda De Pau E Corda,50
Barbara Mendes,51
Barros De Alencar,52
Bartô Galeno,53
Barão Vermelho,54
Bebel Gilberto,55
Bebeto,56
Belchior,57
Belô Velloso,58
Benito Di Paula,59
Beth Carvalho,60
Beto Barbosa,61
Beto Guedes,62
Bezerra Da Silva,63
BiD,64
Biafra,65
Bicho de Pé,66
Biquini Cavadão,67
Bixiga 70,68
Bixo Da Seda,69
Bob Tostes,70
Bobby De Carlo,71
Boca Livre,72
Bossa Jazz Trio,73
Bossacucanova,74
Brazilian Tropical Orchestra,75
Bruna Caram,76
Bungalove,77
Bïa,78
Cachorro Grande,79
Caetano Veloso,80
Candeia,81
Capital Inicial,82
Carlos Galhardo,83
Carlos Gonzaga,84
Carlos Lyra,85
Carlos Malta,86
Cartola,87
Casa Das Máquinas,88
Cassiano,89
Casuarina,90
Cauby Peixoto,91
Cazuza,92
Cecilia Dale,93
Celly Campello,94
Celso Fonseca,95
Chama Chuva,96
Chico Buarque,97
Chico César,98
Chico Science,99
Cida Moreira,100
Cidade Negra,101
Cidadão Instigado,102
Cidadão Quem,103
Circuladô de Fulô,104
Clara Moreno,105
Clara Nunes,106
Claudette Soares,107
Clementina De Jesus,108
Clube Do Balanço,109
Cris Delanno,110
Curumin,111
Cyro Monteiro,112
Cássia Eller,113
Céu,114
Dalto,115
Dalva De Oliveira,116
Daniela Mercury,117
Danilo Caymmi,118
Danni Carlos,119
Delicatessen,120
Demetrius,121
Deny e Dino,122
Detonautas Roque Clube,123
Di Melo,124
Diana,125
Dick Farney,126
Dicró,127
Dilermando Reis,128
Diogo Nogueira,129
Djavan,130
Dolores Duran,131
Dom Salvador,132
Dom Um Romao,133
Dominguinhos,134
Dona Ivone Lara,135
Dori Caymmi,136
Dori Edson,137
Dorival Caymmi,138
Dr. Silvana & Cia.,139
Dudu Nobre,140
Ed Lincoln,141
Ed Motta,142
Ed Wilson,143
Ednardo,144
Edu Lobo,145
Eduardo Araujo,146
Eduardo Braga,147
Egberto Gismonti,148
Elba Ramalho,149
Eldissa,150
Eliane Elias,151
Elis Regina,152
Elizeth Cardoso,153
Elomar,154
"Elomar, Geraldo Azevedo, Vital Farias e Xangai",155
"Elomar, Geraldo Azevedo, Vital Farias, Xangai",156
Elton Medeiros,157
Elza Soares,158
Emmerson Nogueira,159
Emílio Santiago,160
Engenheiros Do Hawaii,161
Erasmo Carlos,162
Evaldo Braga,163
Evinha,164
Fabiana Cozza,165
Fafá de Belém,166
Fagner,167
Falamansa,168
Fatima Guedes,169
Fernanda Abreu,170
Fernanda Porto,171
Fernanda Takai,172
Fernando Mendes,173
Filipe Catto,174
Fino Coletivo,175
Flavio Venturini,176
Flávio José,177
Forroçacana,178
Forrueiros,179
Francis Hime,180
Francisco Alves,181
Frejat,182
Frenéticas,183
Friends from Rio,184
Fábio Jr.,185
Gabrielzinho Do Irajá,186
Gal Costa,187
Garoto,188
Garotos De Rua,189
Genival Lacerda,190
Geraldo Azevedo,191
Geraldo Vandre,192
Gerardo Frisina,193
Gerson King Combo,194
Gilberto Gil,195
Gilliard,196
Golden Boys,197
Gonzaguinha,198
Grupo Do Pixinguinha,199
Grupo Fundo De Quintal,200
Guilherme Arantes,201
Guinga,202
Hamilton De Holanda,203
Hanoi Hanoi,204
Henrique Cazes,205
Herbert Vianna,206
Hermeto Pascoal,207
